time;users;VirtMem;
10:52:08;1;18.6g;
10:52:10;1;18.6g;
10:52:12;1;18.6g;
10:52:14;1;4730732;
10:52:16;1;4973228;
10:52:18;1;4725988;
10:52:21;1;18.6g;
10:52:23;1;972344;
10:52:25;1;967336;
10:52:27;1;18.6g;
10:52:29;1;972024;
10:52:31;1;18.6g;
10:52:34;1;18.6g;
10:52:36;1;18.6g;
10:52:38;1;18.6g;
10:52:40;1;18.6g;
10:52:42;1;18.6g;
10:52:44;1;18.6g;
10:52:47;1;18.6g;
10:52:49;1;18.6g;
10:52:51;1;18.6g;
10:52:53;1;18.6g;
10:52:55;1;18.6g;
10:52:58;1;18.6g;
10:53:00;1;18.6g;
10:53:02;1;18.6g;
10:53:04;1;18.6g;
10:53:06;1;18.6g;
10:53:08;1;18.6g;
10:53:11;1;18.6g;
