time;cpu_per;cpu_core;read_per_s;ram_used;ram_free;ram_buff_cache
17:28:16;5.24;2;218.55;4051;8826;2973
17:28:21;5.24;2;218.17;4062;8825;2963
17:28:26;5.23;1;217.82;4057;8821;2972
17:28:31;5.24;3;217.45;4113;8739;2998
17:28:36;5.27;1;217.05;4115;8715;3021
17:28:41;5.31;3;217.01;4227;8572;3051
17:28:46;5.34;0;219.61;4343;8369;3137
17:28:51;5.38;2;225.19;4305;8439;3106
17:28:56;5.44;3;225.06;3716;9117;3017
17:29:01;5.45;0;224.79;3755;9059;3036
17:29:06;5.47;2;224.52;3660;9171;3019
17:29:11;5.48;2;224.54;3675;9170;3005
17:29:16;5.50;2;224.31;3679;9167;3005
17:29:21;5.51;2;224.00;3743;9085;3021
17:29:26;5.51;0;223.93;3593;9304;2955
17:29:31;5.51;0;223.65;3580;9297;2974
17:29:36;5.51;3;223.43;3511;9414;2926
17:29:41;5.50;0;223.00;3509;9414;2928
17:29:46;5.49;1;222.61;3504;9417;2929
17:29:51;5.49;0;222.23;3519;9393;2938
17:29:56;5.51;1;221.86;3528;9372;2951
17:30:01;5.56;1;221.63;3710;9130;3012
17:30:06;5.60;3;234.49;3753;9062;3035
17:30:11;5.61;0;234.20;3752;9093;3006
17:30:16;5.64;2;234.32;3811;9032;3007
17:30:21;5.66;1;234.12;3804;9031;3014
17:30:26;5.70;2;233.99;3931;8857;3062
17:30:31;5.77;2;234.34;4024;8747;3079
17:30:36;5.78;2;234.21;4021;8769;3060
17:30:41;5.80;1;234.06;4021;8779;3049
17:30:46;5.82;1;233.84;4134;8608;3108
17:30:51;5.85;3;233.79;4158;8595;3097
17:30:56;5.86;3;233.69;4147;8625;3078
17:31:01;5.85;0;233.35;4091;8679;3081
17:31:06;5.86;1;233.22;4100;8654;3096
17:31:11;5.86;0;233.01;4113;8640;3097
17:31:16;5.86;0;232.80;4116;8638;3095
17:31:21;5.87;3;232.48;4147;8601;3101
17:31:26;5.88;1;232.55;4141;8604;3105
17:31:32;5.90;3;232.31;4186;8538;3126
17:31:37;5.91;0;231.97;4200;8513;3137
17:31:42;5.91;2;231.66;4177;8563;3110
17:31:47;5.90;3;231.43;4138;8617;3096
17:31:52;5.90;1;231.01;4125;8637;3088
17:31:57;5.89;1;230.71;4131;8629;3090
17:32:02;5.89;3;230.36;4137;8620;3094
17:32:07;5.89;1;229.92;4138;8622;3090
17:32:12;5.88;0;229.54;4129;8632;3089
17:32:17;5.87;2;229.19;4122;8639;3089
17:32:22;5.86;0;228.71;4122;8634;3094
17:32:27;5.86;1;228.28;4124;8630;3096
17:32:32;5.87;0;227.90;4169;8555;3126
17:32:37;5.88;0;227.52;4168;8555;3127
17:32:42;5.87;2;227.11;4146;8605;3098
17:32:47;5.87;1;226.79;4142;8602;3106
17:32:52;5.89;0;226.58;4191;8552;3107
17:32:57;5.89;1;226.27;4212;8521;3117
17:33:02;5.89;1;226.04;4216;8512;3122
17:33:07;5.89;3;225.72;4190;8571;3089
17:33:12;5.89;0;225.71;4220;8532;3099
17:33:17;5.89;3;225.37;4236;8496;3117
17:33:22;5.88;1;225.02;4218;8534;3097
